"","playerID","Full_name","position","Bats","Throws"
"8027","hinchha01","Harry Sibley Hinchman","Second Baseman","Both","Right"
"8028","hinckmi01","Michael David Hinckley","Pitcher","Right","Left"
"8029","hindssa01","Samuel Russell Hinds","Pitcher","Right","Right"
"8030","hineshu01","Henry Fred Hines","Rightfielder","Right","Right"
"8031","hinesmi01","Michael P. Hines","Catcher and Rightfielder","Right","Left"
"8032","hinespa01","Paul Aloysius Hines","Centerfielder, First Baseman and Second Baseman","Right","Right"
"8033","hinklgo01","Daniel Gordon Hinkle","Catcher","Right","Right"
"8034","hinojda01","Dalier Hinojosa","Pitcher","Right","Right"
"8035","hinridu01","William Louis Hinrichs","Pitcher","Right","Right"
"8036","hinripa01","Paul Edwin Hinrichs","Pitcher","Right","Right"
"8037","hinshal01","Alexander Omar Hinshaw","Pitcher","Left","Left"
"8038","hinshge01","George Addison Hinshaw","Rightfielder, Third Baseman and Second Baseman","Right","Right"
"8039","hinsker01","Eric Scott Hinske","Third Baseman, Pinch Hitter and Outfielder","Left","Right"
"8040","hinslje01","Jerry Dean Hinsley","Pitcher","Right","Right"
"8041","hintoch01","Charles Edward Hinton","Outfielder, First Baseman and Second Baseman","Right","Right"
"8042","hintojo01","John Robert Hinton","Third Baseman","Right","Right"
"8043","hintori01","Richard Michael Hinton","Pitcher","Left","Left"
"8044","hinzoto01","Thomas Lee Hinzo","Second Baseman","Both","Right"
"8045","hippahe01","Herbert August Hippauf","Pitcher","Right","Left"
"8046","hiranyo01","Yoshihisa Hirano","Pitcher","Right","Right"
"8047","hirshja01","Jason Michael Hirsh","Pitcher","Right","Right"
"8048","hiserge01","Gene Taylor Hiser","Outfielder and Pinch Hitter","Left","Left"
"8049","hislela01","Larry Eugene Hisle","Outfielder","Right","Right"
"8050","hisneha01","Harley Parnell Hisner","Pitcher","Right","Right"
"8051","hitchbi01","William Clyde Hitchcock","Third Baseman, Second Baseman and Shortstop","Right","Right"
"8052","hitchji01","James Franklin Hitchcock","Shortstop and Third Baseman","Right","Right"
"8053","hitchst01","Sterling Alex Hitchcock","Pitcher","Left","Left"
"8054","hittbr01","Bruce Smith Hitt","Pitcher","Right","Right"
"8055","hittlll01","Lloyd Eldon Hittle","Pitcher","Right","Left"
"8056","hittro01","Roy Wesley Hitt","Pitcher","Left","Left"
"8057","hiurake01","Keston Wee Hing Natsuo Hiura","Second Baseman and First Baseman","Right","Right"
